1244,1664
1248,1576
1240,1499
1237,1435
1244,1391
2369,1585
2363,1765
2363,1898
2368,2006
2365,2093
2024,2089
2034,2074
2037,2065
2033,2060
2025,2048
1939,2024
1944,2005
1936,1992
1930,1973
1939,1965
2348,2048
2346,2117
2347,2168
2348,2208
2346,2244
1620,2124
1625,2003
1628,1914
1621,1849
1616,1792
2440,1913
2443,2045
2434,2136
2438,2202
2440,2256
2268,2270
2263,2268
2267,2263
2268,2265
2264,2266
2322,2272
2330,2285
2336,2304
2328,2309
2324,2306
2295,2304
2295,2308
2289,2304
2294,2297
2296,2296
2149,2270
2144,2238
2150,2213
2155,2208
2147,2194
1730,2095
1734,2008
1732,1952
1730,1901
1736,1858
1789,1843
1785,1834
1779,1818
1786,1810
1789,1809
2344,1916
2346,2014
2345,2092
2344,2157
2339,2198
1662,2093
1664,1991
1657,1917
1652,1854
1659,1807
2117,1869
2112,1927
2109,1968
2112,2004
2113,2034
2208,2070
2213,2099
2213,2126
2209,2152
2204,2158
1697,2067
1703,1985
1694,1914
1692,1859
1696,1820
1312,1724
1306,1632
1314,1558
1317,1507
1310,1465
1434,1449
1440,1448
1444,1453
1437,1449
1443,1445
1784,1511
1784,1582
1778,1624
1787,1661
1789,1695
1775,1715
1773,1724
1776,1736
1774,1752
1771,1753
2013,1801
2018,1853
2010,1893
2006,1912
2012,1937
2080,1970
2077,1993
2083,2010
2088,2029
2080,2043
1598,1952
1605,1869
1608,1810
1604,1768
1602,1722
1992,1772
1992,1831
1987,1866
1989,1890
1996,1921
2406,2020
2402,2104
2410,2174
2406,2232
2404,2272
2278,2275
2282,2274
2277,2276
2270,2273
2278,2274
2190,2261
2185,2244
2188,2226
2187,2215
2184,2212
2201,2206
2210,2206
2215,2213
2209,2213
2205,2205
1680,2100
1674,2004
1671,1929
1680,1867
1682,1827
2238,1906
2232,1980
2241,2042
2238,2092
2234,2126
1911,2084
1911,2042
1908,2016
1902,1984
1911,1967
2308,2038
2305,2102
2308,2147
2311,2190
2306,2218
2112,2196
2120,2176
2121,2170
2117,2156
2119,2143
1793,2073
1788,2011
1789,1959
1789,1913
1794,1893
2166,1942
2171,1995
2173,2035
2169,2073
2164,2090
2257,2127
2263,2163
2252,2183
2256,2198
2256,2208
1315,2038
1310,1864
1317,1736
1319,1643
1314,1574
1541,1554
1550,1555
1547,1558
1544,1554
1549,1549
2177,1680
2170,1798
2164,1876
2173,1946
2172,2004
1323,1872
1329,1742
1334,1652
1328,1576
1323,1515
1537,1513
1540,1528
1531,1525
1537,1527
1541,1532
2100,1648
2095,1746
